Type,Date,Site,Chamber,H2_Flux,H2_Min,H2_Max
Field,02/10/2025,WH,2,-0.7941,-2.647,1.059
Field,02/10/2025,WH,3,9.385,-16.4,35.17
Field,02/10/2025,WH,4,-16.85,-19.79,-13.92
Field,02/10/2025,WH,5,-17.84,-25.01,-10.66
Field,02/10/2025,WH,6,-2.488,-5.479,0.502
Field,02/10/2025,WH,7,-2.196,-3.309,-1.082
Field,02/10/2025,WH,8,-19.76,-31.43,-8.087
Field,02/10/2025,WH,9,-8.005,-12.8,-3.206
Field,23/10/2025,WH,1,-12.37,-15.02,-9.726
Field,23/10/2025,WH,10,0.2495,-0.7175,1.217
Field,23/10/2025,WH,2,-7.744,-11.8,-3.685
Field,23/10/2025,WH,3,-21.44,-27.76,-15.12
Field,23/10/2025,WH,4,-25.13,-27.99,-22.28
Field,23/10/2025,WH,5,-10.69,-12.94,-8.432
Field,23/10/2025,WH,6,-6.503,-9.032,-3.975
Field,23/10/2025,WH,7,-4.196,-5.456,-2.935
Field,23/10/2025,WH,8,-6.189,-7.978,-4.4
Field,23/10/2025,WH,9,-4.834,-6.713,-2.956
Field,11/12/2025,WH,1,-35.22,-54.53,-15.92
Field,11/12/2025,WH,10,0.3493,-2.588,3.287
Field,11/12/2025,WH,2,-6.837,-13.43,-0.2453
Field,11/12/2025,WH,3,-2.981,-6.154,0.1913
Field,11/12/2025,WH,4,-18.94,-28.79,-9.08
Field,11/12/2025,WH,5,-20.53,-29.77,-11.28
Field,11/12/2025,WH,7,-4.063,-5.987,-2.138
Field,11/12/2025,WH,8,-16.55,-23.54,-9.559
Field,11/12/2025,WH,9,-27.53,-31.34,-23.72
Field,16/12/2025,WH,1,-33.64,-37.96,-29.33
Field,16/12/2025,WH,10,52.32,40.5,64.14
Field,16/12/2025,WH,2,0.5195,-0.8431,1.882
Field,16/12/2025,WH,3,-3.857,-5.846,-1.868
Field,16/12/2025,WH,4,-30.27,-49.07,-11.47
Field,16/12/2025,WH,5,-7.626,-10.57,-4.68
Field,16/12/2025,WH,7,9.237,-20.3,38.78
Field,16/12/2025,WH,8,-0.1959,-6.285,5.893
Field,16/12/2025,WH,9,0.128,-1.226,1.482
Field,15/01/2026,WH,1,-39.01,-68.07,-9.955
Field,15/01/2026,WH,10,-0.2033,-0.7454,0.3387
Field,15/01/2026,WH,2,-0.7852,-2.617,1.047
Field,15/01/2026,WH,3,-7.358,-12.9,-1.816
Field,15/01/2026,WH,4,-18.24,-21.42,-15.06
Field,15/01/2026,WH,5,-18.58,-26.06,-11.11
Field,15/01/2026,WH,6,-2.666,-5.869,0.5378
Field,15/01/2026,WH,7,-2.356,-3.55,-1.161
Field,15/01/2026,WH,8,-19.68,-31.3,-8.055
Field,15/01/2026,WH,9,-7.957,-12.73,-3.187
Field,25/02/2026,WH,1,-53.61,-60.64,-46.58
Field,25/02/2026,WH,10,-1.485,-3.136,0.1652
Field,25/02/2026,WH,3,-27.87,-51.63,-4.109
Field,25/02/2026,WH,4,-86.14,-124.4,-47.92
Field,25/02/2026,WH,5,-25.32,-36.4,-14.24
Field,25/02/2026,WH,6,-0.3406,-1.661,0.9796
Field,25/02/2026,WH,7,-3.675,-6.47,-0.8802
Field,25/02/2026,WH,8,-11.54,-15.98,-7.112
Field,25/02/2026,WH,9,-16.56,-30.21,-2.901
Field,25/03/2026,WH,1,-45.07,-51.8,-38.33
Field,25/03/2026,WH,10,-0.3662,-1.806,1.074
Field,25/03/2026,WH,2,-3.095,-4.912,-1.277
Field,25/03/2026,WH,3,-10.26,-11.82,-8.702
Field,25/03/2026,WH,4,-42.76,-49.02,-36.49
Field,25/03/2026,WH,5,-25.27,-30.95,-19.58
Field,25/03/2026,WH,6,-5.275,-9.851,-0.6982
Field,25/03/2026,WH,7,-5.86,-9.268,-2.451
Field,25/03/2026,WH,8,-17.85,-32.66,-3.042
Field,25/03/2026,WH,9,-19.71,-20.75,-18.66
Field,20/04/2026,WH,1,-63.2,-105.4,-20.99
Field,20/04/2026,WH,10,0.2236,-1.841,2.288
Field,20/04/2026,WH,2,-0.9044,-1.673,-0.1357
Field,20/04/2026,WH,3,-16.74,-19.82,-13.65
Field,20/04/2026,WH,4,-53.21,-86.53,-19.89
Field,20/04/2026,WH,5,-21.2,-32.41,-9.984
Field,20/04/2026,WH,6,-6.482,-12.64,-0.3274
Field,20/04/2026,WH,7,-4.782,-5.3,-4.263
Field,20/04/2026,WH,8,-26.53,-54.59,1.531
Field,20/04/2026,WH,9,-20.69,-40.31,-1.081
Field,12/05/2026,WH,1,-53.4,-98.51,-8.296
Field,12/05/2026,WH,2,-2.733,-4.467,-0.9986
Field,12/05/2026,WH,3,-24.2,-31.21,-17.18
Field,12/05/2026,WH,4,-58.36,-78.74,-37.97
Field,12/05/2026,WH,5,-32.05,-45.1,-19.01
Field,20/05/2026,WH,1,-18.86,-22.88,-14.84
Field,20/05/2026,WH,10,-2.554,-6.41,1.303
Field,20/05/2026,WH,2,-1.387,-3.284,0.5093
Field,20/05/2026,WH,3,-3.742,-16.64,9.156
Field,20/05/2026,WH,4,-13.3,-14.86,-11.75
Field,20/05/2026,WH,5,-12.74,-14.81,-10.67
Field,20/05/2026,WH,6,-3.826,-5.96,-1.691
Field,20/05/2026,WH,7,-4.186,-6.249,-2.123
Field,20/05/2026,WH,8,-13.61,-16.47,-10.75
Field,20/05/2026,WH,9,-19.7,-36.13,-3.266
Field,10/06/2026,WH,1,-37.32,-62.06,-12.57
Field,10/06/2026,WH,10,0.4485,-3.243,4.14
Field,10/06/2026,WH,2,-4.504,-7.01,-1.998
Field,10/06/2026,WH,3,-11.77,-15.83,-7.704
Field,10/06/2026,WH,4,-34.47,-50.43,-18.51
Field,10/06/2026,WH,5,-23.22,-29.7,-16.75
Field,10/06/2026,WH,6,-2.744,-4.522,-0.9654
Field,10/06/2026,WH,7,-0.5098,-4.34,3.32
Field,10/06/2026,WH,8,-6.615,-13.93,0.7042
Field,10/06/2026,WH,9,-11.38,-17.84,-4.926
Lab,12/02/2026,AC,1,0.003657,-0.01863,0.02594
Lab,12/02/2026,AC,2,-0.01799,-0.05842,0.02244
Lab,12/02/2026,AC,3,0.0006353,-0.02316,0.02443
Lab,12/02/2026,WH,1,-0.4845,-1.319,0.3498
Lab,12/02/2026,WH,2,0.006438,-0.05679,0.06967
Lab,12/02/2026,WH,3,-0.03183,-0.09643,0.03277
Lab,17/02/2026,AC,1,0.003597,-0.01832,0.02552
Lab,17/02/2026,AC,2,-0.01799,-0.05842,0.02244
Lab,17/02/2026,AC,3,0.0006353,-0.02316,0.02443
Lab,17/02/2026,WH,1,-0.4845,-1.319,0.3498
Lab,17/02/2026,WH,2,0.006444,-0.05684,0.06973
Lab,17/02/2026,WH,3,-0.03177,-0.09625,0.0327
Lab,20/02/2026,AC,1,0.1359,-0.04445,0.3162
Lab,20/02/2026,AC,2,-0.1025,-0.2236,0.0185
Lab,20/02/2026,AC,3,-0.0004036,-0.07142,0.07062
Lab,20/02/2026,WH,1,0.07635,-0.1409,0.2936
Lab,20/02/2026,WH,2,0.08439,0.03531,0.1335
Lab,20/02/2026,WH,3,0.03925,-0.06004,0.1385
Lab,25/02/2026,AC,1,0.01784,0.007286,0.02839
Lab,25/02/2026,AC,2,-0.05924,-0.1345,0.01607
Lab,25/02/2026,AC,3,0.007745,-0.03998,0.05547
Lab,25/02/2026,WH,1,-0.02586,-0.08909,0.03737
Lab,25/02/2026,WH,2,-0.005103,-0.03626,0.02606
Lab,25/02/2026,WH,3,0.01129,-0.05188,0.07445
Lab,04/03/2026,AC,1,-0.02871,-0.1945,0.1371
Lab,04/03/2026,AC,2,-0.1849,-0.3216,-0.04809
Lab,04/03/2026,AC,3,-0.1569,-0.3356,0.02188
Lab,04/03/2026,WH,1,-0.06954,-0.2142,0.07507
Lab,04/03/2026,WH,2,-0.05836,-0.2149,0.09819
Lab,04/03/2026,WH,3,-0.0166,-0.09971,0.06651
Lab,10/03/2026,AC,1,-0.1519,-0.3864,0.08257
Lab,10/03/2026,AC,2,-0.1144,-0.1877,-0.04118
Lab,10/03/2026,AC,3,-0.01325,-0.2623,0.2358
Lab,10/03/2026,WH,1,0.0857,-0.03667,0.2081
Lab,10/03/2026,WH,2,0.1376,0.07762,0.1976
Lab,10/03/2026,WH,3,-0.02559,-0.08635,0.03517
Lab,12/03/2026,AC,1,-0.1349,-0.2112,-0.05859
Lab,12/03/2026,AC,2,-0.1615,-0.2439,-0.079
Lab,12/03/2026,AC,3,-0.03473,-0.07813,0.008665
Lab,12/03/2026,WH,1,0.003157,-0.04084,0.04716
Lab,12/03/2026,WH,2,-0.002628,-0.07443,0.06918
Lab,12/03/2026,WH,3,0.06867,-0.01165,0.149
Lab,17/03/2026,AC,1,-0.1043,-0.2117,0.003167
Lab,17/03/2026,AC,2,-0.2535,-0.33,-0.1769
Lab,17/03/2026,AC,3,-0.109,-0.2065,-0.01154
Lab,17/03/2026,WH,1,-0.02264,-0.09174,0.04645
Lab,17/03/2026,WH,2,-0.001364,-0.06169,0.05896
Lab,17/03/2026,WH,3,-0.03731,-0.1264,0.05179
Lab,19/03/2026,AC,1,-0.2333,-0.3237,-0.143
Lab,19/03/2026,AC,2,-0.253,-0.3877,-0.1183
Lab,19/03/2026,AC,3,-0.6014,-0.8303,-0.3726
Lab,19/03/2026,WH,1,-0.0702,-0.17,0.02965
Lab,19/03/2026,WH,2,-0.01843,-0.08589,0.04902
Lab,19/03/2026,WH,3,-0.0296,-0.04784,-0.01136
Lab,24/03/2026,AC,1,-0.4433,-0.586,-0.3007
Lab,24/03/2026,AC,2,-0.5205,-0.5911,-0.4498
Lab,24/03/2026,AC,3,-0.4067,-0.6829,-0.1306
Lab,24/03/2026,WH,1,-0.09815,-0.1417,-0.05456
Lab,24/03/2026,WH,2,0.02692,-0.03107,0.08492
Lab,24/03/2026,WH,3,-0.09635,-0.3507,0.158
Lab,26/03/2026,AC,1,-0.4636,-0.7232,-0.204
Lab,26/03/2026,AC,2,-0.6761,-0.8838,-0.4684
Lab,26/03/2026,AC,3,-0.4127,-0.5486,-0.2769
Lab,26/03/2026,WH,1,-0.1372,-0.2244,-0.04999
Lab,26/03/2026,WH,2,-0.06754,-0.1051,-0.02998
Lab,26/03/2026,WH,3,-0.05427,-0.07977,-0.02876
Lab,31/03/2026,AC,1,-0.7529,-1.063,-0.4424
Lab,31/03/2026,AC,2,-0.7296,-1.174,-0.2852
Lab,31/03/2026,AC,3,-0.7163,-1.172,-0.2604
Lab,31/03/2026,WH,1,-0.08598,-0.1773,0.005287
Lab,31/03/2026,WH,2,-0.2157,-0.3695,-0.062
Lab,31/03/2026,WH,3,-0.1074,-0.1594,-0.05531
Lab,10/04/2026,AC,1,-1.087,-1.741,-0.4333
Lab,10/04/2026,AC,2,-0.2554,-0.6605,0.1496
Lab,10/04/2026,AC,3,-0.6556,-0.7966,-0.5145
Lab,10/04/2026,WH,1,-0.3742,-0.5533,-0.1952
Lab,10/04/2026,WH,2,-0.1823,-0.3131,-0.05141
Lab,10/04/2026,WH,3,-0.2394,-0.5933,0.1145
Lab,13/04/2026,AC,1,-1.261,-2.046,-0.4756
Lab,13/04/2026,AC,2,-0.1806,-0.2582,-0.1031
Lab,13/04/2026,AC,3,-0.6536,-0.7693,-0.5379
Lab,13/04/2026,WH,1,-0.2308,-0.3569,-0.1047
Lab,13/04/2026,WH,2,-0.3202,-0.4747,-0.1656
Lab,13/04/2026,WH,3,-0.1817,-0.269,-0.09433
Lab,15/04/2026,AC,1,-0.4468,-0.6132,-0.2804
Lab,15/04/2026,AC,2,-0.1992,-0.3582,-0.04019
Lab,15/04/2026,AC,3,-0.576,-0.8569,-0.2951
Lab,15/04/2026,WH,1,-0.4251,-0.5691,-0.2811
Lab,15/04/2026,WH,2,-0.275,-0.3948,-0.1552
Lab,15/04/2026,WH,3,-0.1488,-0.2618,-0.03582
Lab,22/04/2026,AC,1,-0.5812,-0.8172,-0.3451
Lab,22/04/2026,AC,2,-0.008724,-0.09188,0.07443
Lab,22/04/2026,AC,3,-0.4324,-0.4814,-0.3834
Lab,22/04/2026,WH,1,-0.7084,-1.232,-0.1846
Lab,22/04/2026,WH,2,-0.6252,-1.033,-0.2177
Lab,22/04/2026,WH,3,-0.4094,-0.9158,0.09697
Lab,28/04/2026,AC,1,-0.05831,-0.0838,-0.03282
Lab,28/04/2026,AC,2,-0.02864,-0.0922,0.03492
Lab,28/04/2026,AC,3,-0.357,-0.4731,-0.2409
Lab,28/04/2026,WH,1,-0.3936,-0.469,-0.3182
Lab,28/04/2026,WH,2,-0.5151,-0.8516,-0.1786
Lab,28/04/2026,WH,3,-0.2849,-0.3805,-0.1894
Lab,06/05/2026,AC,1,-0.02313,-0.08229,0.03603
Lab,06/05/2026,AC,2,0.0121,-0.02119,0.04539
Lab,06/05/2026,AC,3,-0.0304,-0.05501,-0.005791
Lab,06/05/2026,WH,1,-0.6767,-0.87,-0.4835
Lab,06/05/2026,WH,2,-0.5334,-0.6411,-0.4258
Lab,06/05/2026,WH,3,-0.5932,-0.6339,-0.5525
Lab,14/05/2026,AC,1,0.03951,0.009486,0.06954
Lab,14/05/2026,AC,2,0.02089,-0.02522,0.067
Lab,14/05/2026,AC,3,0.02245,-0.002468,0.04737
Lab,14/05/2026,WH,1,-0.3816,-0.5087,-0.2545
Lab,14/05/2026,WH,2,-0.5044,-0.9369,-0.07186
Lab,14/05/2026,WH,3,-1.13,-1.589,-0.6707
Lab,19/05/2026,AC,1,0.01131,-0.03323,0.05584
Lab,19/05/2026,AC,2,-0.01704,-0.06484,0.03075
Lab,19/05/2026,AC,3,-0.004676,-0.1559,0.1465
Lab,19/05/2026,WH,1,-0.6031,-0.9535,-0.2527
Lab,19/05/2026,WH,2,-0.541,-0.8667,-0.2154
Lab,19/05/2026,WH,3,-0.8859,-1.504,-0.2682
Lab,21/05/2026,WH,1,-0.5669,-1.039,-0.0948
Lab,21/05/2026,WH,2,-0.306,-0.5829,-0.02911
Lab,21/05/2026,WH,3,-0.8448,-1.089,-0.6008
Lab,03/06/2026,WH,1,-0.5233,-0.6262,-0.4205
Lab,03/06/2026,WH,2,-0.3444,-0.4739,-0.2149
Lab,03/06/2026,WH,3,-0.6577,-1.013,-0.3023
Lab,19/06/2026,WH,1,-0.362,-0.5701,-0.1539
Lab,19/06/2026,WH,2,0.08331,-0.02467,0.1913
Lab,19/06/2026,WH,3,-1.407,-2.564,-0.2508
